TAZ_ID,TOTPOP,HHPOP,GQPOP,HH,HHSIZE,HHINC,HHWRK,HHVEH,HHSTD,SENHH,TOTEMP,EMP_11,EMP_21,EMP_22,EMP_23,EMP_3133,EMP_42,EMP_4445,EMP_4849,EMP_51,EMP_52,EMP_53,EMP_54,EMP_55,EMP_56,EMP_61,EMP_62,EMP_71,EMP_72,EMP_81,EMP_92,TotHouse,VacHouse,Res,Com,Ind,Agr,Vac,TotLand
2272,4429,4238,191,1795,2.36,65375,1.37,1.93,0.38,1030,3851,0,0,0,102,81,59,576,64,96,396,145,729,42,373,46,371,28,132,436,174,1374,1,700,219,8,0,83,1950
2273,3247,3092,155,1039,2.98,115533,1.29,2.2,0.53,452,6574,0,26,0,143,223,274,2242,284,85,135,168,325,13,374,63,381,16,1050,534,239,673,1,495,535,129,12,262,2320
2274,1975,7598,-5623,709,10.72,58731,1.36,1.59,0.57,353,6728,0,22,0,783,368,503,1252,279,77,107,197,139,323,927,30,318,264,111,630,399,316,1,126,366,819,0,1,2040
2275,2868,1324,1544,843,1.57,79370,1.35,1.83,0.87,362,2296,0,0,0,73,7,14,81,197,7,76,50,153,6,129,58,521,39,48,100,739,500,1,569,39,197,1055,535,3720
2276,2896,2163,733,1043,2.07,29351,0.73,1.02,0.56,303,899,0,0,0,97,78,66,69,26,0,19,31,11,0,99,34,116,0,0,169,86,624,1,60,41,46,0,14,380
2277,3492,2851,641,1068,2.67,79305,1.45,1.83,0.94,347,171,0,0,0,27,10,17,45,0,0,0,37,13,0,0,0,0,0,0,22,0,547,1,288,145,0,0,491,1580
2278,3361,2611,750,1199,2.18,79305,1.31,1.83,0.85,317,2570,0,0,0,169,668,207,259,80,41,131,40,55,0,156,12,141,32,143,251,185,728,1,436,192,520,535,1,3020
2279,2702,1567,1135,1055,1.49,36932,1.04,1.68,0.63,411,176,0,0,0,35,0,0,0,0,0,0,0,0,0,0,34,0,0,15,93,0,624,1,432,2,0,0,687,2020
2280,2129,1134,995,780,1.45,89917,1.32,2.1,0.56,306,201,0,0,0,42,0,7,0,0,7,14,17,12,0,25,0,0,13,11,52,0,364,1,1880,3,0,634,3347,12080
2281,2224,1732,492,813,2.13,73696,1.26,2.2,0.49,386,532,0,0,0,59,46,19,61,19,4,29,43,10,0,35,53,46,0,22,72,13,419,1,2618,45,12,0,3208,12290
2282,3322,3210,112,1177,2.73,42753,1.1,1.41,0.43,513,4650,0,0,0,72,0,30,141,0,33,102,69,181,0,57,18,41,22,34,187,3663,769,1,493,197,36,180,745,3830
2283,2834,6914,-4080,1013,6.83,28925,0.94,1.1,0.6,330,914,0,0,0,13,11,107,65,33,10,25,40,41,78,127,20,149,24,28,128,16,580,1,19,82,1,0,30,220
2284,4426,4381,45,2206,1.99,29578,0.69,0.86,0.27,826,2200,0,0,0,66,7,18,305,23,40,102,275,57,0,625,23,237,26,224,151,20,2308,102,71,173,0,0,31,550
2285,2933,2869,64,1160,2.47,48558,0.94,1.52,0.4,541,2730,0,0,0,68,20,145,367,26,155,142,120,153,5,381,21,210,56,195,316,349,772,1,668,277,37,1293,3073,10640
2286,2762,1821,941,1165,1.56,79029,1.3,2.21,0.45,521,504,0,0,0,84,17,29,32,23,0,14,24,16,0,0,23,0,105,25,78,32,849,1,5313,26,0,0,15415,32570
2287,1338,8019,-6681,536,14.96,60700,1.14,2.03,0.41,299,899,0,0,0,49,115,191,87,33,0,12,28,17,12,88,25,68,11,15,129,19,222,1,887,670,137,213,1172,6040
2288,2934,2234,700,1236,1.81,56429,1.16,1.67,0.49,453,2022,0,0,0,107,31,31,856,45,10,56,102,28,5,83,44,133,35,133,199,124,958,1,885,316,66,0,1517,5340
2289,3918,13013,-9095,1429,9.11,51471,1.54,1.84,0.73,404,385,0,0,0,39,0,9,38,24,0,9,16,9,3,53,26,53,11,9,58,27,1375,1,1035,155,19,0,1917,6020
2290,2243,7319,-5076,910,8.04,83423,1.41,1.74,0.41,321,2969,0,0,0,83,67,83,509,82,35,250,168,168,12,238,59,564,60,283,271,36,418,1,141,55,0,0,2,400
2291,3698,6835,-3137,1213,5.63,67097,1.32,1.65,0.59,386,777,0,0,0,125,28,0,46,21,8,11,37,44,0,89,52,84,12,46,89,84,638,1,381,18,13,0,727,2290
2292,3758,7320,-3562,1523,4.81,83423,1.41,1.74,0.41,453,755,0,0,0,89,5,53,50,21,39,143,26,28,0,38,26,44,15,12,66,101,887,1,313,14,0,0,36,750
2293,5311,3388,1923,1980,1.71,111001,1.58,2.15,0.57,631,1030,0,0,0,85,81,69,78,42,6,97,47,27,5,83,40,164,23,48,116,17,1412,1,632,35,36,0,24,1640
2294,4287,5060,-773,1789,2.83,70699,1.41,1.81,0.5,510,1130,0,0,0,39,21,19,200,22,0,79,79,98,7,118,0,68,85,105,188,0,1169,1,414,257,0,174,117,1410
2295,2471,1612,859,657,2.45,66847,0.79,1.58,0.23,325,3831,0,0,0,168,141,102,1088,59,21,78,208,68,27,129,52,200,190,216,585,499,380,1,26,213,675,0,2129,7840
2296,4983,2470,2513,890,2.78,47052,1.38,1.53,0.49,426,4984,0,0,0,243,95,117,797,0,50,89,91,88,0,70,0,294,0,213,165,2672,498,1,173,97,60,0,105,1320
2297,4057,24696,-20639,1800,13.72,47277,1.15,1.53,0.41,378,365,0,0,0,58,0,44,0,0,10,0,96,0,6,16,0,0,19,23,93,0,1320,1,214,103,0,0,49,680
2298,3144,18127,-14983,1340,13.53,58715,1.09,1.38,0.29,381,7227,0,0,8,186,494,196,1490,144,241,901,1077,678,234,584,108,500,31,130,172,55,1005,1,59,393,175,0,112,1290
2299,3670,4526,-856,1507,3,58715,1.05,1.38,0.28,557,1796,0,0,0,17,9,27,783,27,39,35,50,17,5,53,19,61,13,163,461,16,1105,1,230,217,0,0,34,1450
2300,4144,3556,588,1728,2.06,68788,1.35,1.74,0.39,488,1120,0,0,0,56,11,11,198,0,11,35,87,32,14,71,74,63,73,154,230,0,1224,1,318,97,0,0,40,1040
2301,4487,24533,-20046,1944,12.62,67730,1.29,1.68,0.38,507,3326,0,0,0,85,34,59,421,82,158,255,221,359,8,259,71,327,53,343,544,47,1389,1,309,210,0,0,45,1160
2302,4431,6020,-1589,1905,3.16,79431,1.41,1.85,0.35,524,3764,37,0,0,108,89,156,502,51,61,804,237,341,54,817,46,139,23,79,145,75,1642,1,387,201,0,0,340,1760
2303,4109,3506,603,1651,2.12,87691,1.3,1.79,0.46,472,1466,0,0,0,208,222,202,114,21,8,42,62,18,52,173,23,37,26,23,204,29,1186,1,1052,75,550,0,213,3640
2304,4035,3854,181,1673,2.3,68227,1.15,1.61,0.34,665,1047,0,0,0,40,12,15,131,0,25,33,60,57,0,32,111,358,58,37,78,0,1050,1,415,34,0,0,13,1000
2305,5548,4040,1508,2210,1.83,77641,1.24,1.74,0.5,565,817,0,0,0,77,28,34,196,24,11,67,57,15,5,49,10,43,0,107,82,13,1592,1,471,53,0,0,15,1090
2306,2250,7292,-5042,799,9.13,128283,1.32,1.98,0.67,368,628,80,0,0,95,5,15,41,23,4,21,42,14,0,33,15,39,148,0,52,0,394,1,2058,348,8,0,3088,10670
2307,3674,3572,102,1496,2.39,67097,1.21,1.65,0.54,367,1537,0,0,0,54,89,27,52,24,9,55,138,16,7,79,20,154,25,47,188,556,1017,1,2183,161,174,0,1279,7960
2308,3755,15199,-11444,1611,9.43,67097,1.1,1.65,0.49,368,795,0,0,0,30,17,42,99,27,5,38,114,14,0,59,20,85,18,91,122,14,997,1,265,117,0,0,98,1240
2309,4501,1390,3111,1715,0.81,124002,1.45,0.4,0.6,523,363,0,0,0,56,0,12,0,0,5,32,21,14,0,81,0,37,0,44,61,0,1045,1,627,0,0,1,123,1610
2310,2082,7797,-5715,777,10.03,100215,1.31,1.83,0.63,305,435,113,7,0,38,24,8,0,25,5,18,36,23,0,40,10,0,27,0,61,0,363,1,2238,22,0,0,1336,8310
2311,3745,2034,1711,1175,1.73,135465,1.35,2.02,0.86,310,278,0,0,0,36,27,19,29,31,0,15,26,0,0,41,0,0,25,0,28,0,624,1,332,0,0,16,655,1980
2312,2610,2095,515,995,2.11,80144,0.91,1.8,0.56,395,669,0,13,0,25,10,14,136,29,9,21,64,16,4,62,34,79,11,52,71,19,610,1,1663,165,0,2306,2910,10050
2313,3199,2988,211,1220,2.45,44959,0.94,1.48,0.39,371,1271,0,0,0,35,123,19,391,40,9,47,73,45,6,71,46,115,19,69,130,32,840,1,279,205,459,163,715,2910
2314,2867,7540,-4673,979,7.7,78492,1.13,1.78,0.66,357,443,0,0,0,52,24,55,74,0,0,15,20,16,0,65,0,0,19,51,52,0,504,1,889,144,100,0,2040,7820
2315,3116,1521,1595,989,1.54,77641,1.51,1.74,0.61,364,261,0,0,0,15,5,10,57,0,0,11,0,16,0,0,0,43,0,0,31,72,522,1,216,2,0,0,14,420
2316,3446,2845,601,1383,2.06,72498,1.44,2.16,0.44,543,2428,0,0,0,76,29,24,516,32,31,62,79,41,5,64,24,114,93,177,179,884,894,1,279,60,0,0,17,750
2317,3182,13817,-10635,1274,10.85,70469,1.44,2.06,0.52,502,233,0,0,0,44,9,11,29,0,5,22,0,0,0,55,10,20,0,0,29,0,744,1,278,3,0,0,6,600
2318,2315,3595,-1280,911,3.95,21805,0.67,0.76,0.39,393,1981,0,0,0,157,52,108,60,0,7,40,23,18,0,65,43,343,17,53,257,740,504,1,59,30,48,0,16,490
2319,1877,1791,86,723,2.48,98624,1.3,1.83,0.38,353,332,0,0,0,15,0,16,0,0,0,0,45,11,0,30,0,0,0,0,214,0,318,1,213,0,0,0,62,520
2320,1179,6715,-5536,414,16.22,89917,1.26,2.1,0.54,344,430,183,0,0,36,12,19,0,0,0,0,103,0,0,51,0,0,0,0,25,0,201,1,1260,0,0,2895,407,6410
2321,3246,10652,-7406,1247,8.54,55688,1.6,1.9,0.62,320,2066,0,0,0,442,116,178,188,22,44,76,121,91,0,180,22,106,18,75,362,28,923,1,222,253,142,0,42,1210
2322,3648,7130,-3482,1221,5.84,49176,1.11,1.59,0.4,398,1410,0,12,0,36,17,97,467,40,8,88,30,39,4,69,21,151,37,61,216,17,778,1,207,81,0,0,6,610
2323,3058,7577,-4519,1380,5.49,86679,0.87,1.53,0.23,439,1105,0,0,0,57,20,31,129,27,9,102,37,57,0,90,21,148,124,83,118,55,920,1,177,155,0,0,17,760
2324,4070,9360,-5290,1601,5.85,40035,1.25,1.57,0.44,466,853,0,0,0,35,19,9,163,29,7,91,36,63,3,70,11,97,26,95,99,0,1253,1,338,46,0,0,5,840
2325,3314,21405,-18091,1452,14.74,62424,1.05,1.6,0.38,454,1334,0,0,0,73,15,18,550,37,5,87,59,61,5,57,18,122,8,104,98,18,1087,1,290,53,0,0,5,730
2326,3410,6592,-3182,1338,4.93,38741,1.08,1.62,0.41,478,2787,0,0,0,115,64,154,371,41,93,99,68,40,5,687,34,277,44,97,481,116,1030,1,266,238,24,0,166,1730
2327,2682,6405,-3723,834,7.68,30326,0.92,1.29,0.69,353,520,0,0,0,26,0,31,104,21,0,28,15,8,0,39,19,64,0,0,166,0,632,1,124,38,0,0,11,350
2328,3254,2896,358,960,3.02,36531,1.1,1.51,0.63,381,341,0,0,0,20,0,8,29,21,13,16,10,7,0,45,25,53,24,10,49,10,567,1,162,11,0,0,4,380
2329,4167,7351,-3184,1428,5.15,35550,1.09,1.56,0.62,447,638,0,0,0,60,0,12,94,0,42,0,0,0,0,0,0,0,32,45,323,28,1110,1,297,19,0,0,10,750
2330,2915,890,2025,1043,0.85,44347,1.37,1.53,0.58,353,248,0,0,0,38,11,9,36,0,0,0,33,0,0,0,34,0,22,25,40,0,763,1,183,15,31,0,342,1150
2331,771,3253,-2482,314,10.36,60700,1.02,2.03,0.37,338,408,0,0,0,50,0,0,32,21,0,0,15,17,0,37,35,29,124,15,32,0,196,1,576,326,22,0,756,3260
2332,1978,2720,-742,637,4.27,26905,0.86,1.17,0.66,358,630,0,0,0,12,89,70,93,23,0,45,18,0,0,31,0,113,0,52,84,0,392,1,139,18,1,0,11,350
2333,2531,1966,565,943,2.08,26613,0.72,1.04,0.46,448,900,0,0,0,14,89,77,206,27,0,37,18,9,0,34,36,112,55,87,89,11,946,4,112,53,140,0,12,700
2334,958,8039,-7081,320,25.12,25753,0.77,1.03,0.49,335,2806,0,0,0,149,139,158,45,1028,0,0,36,18,0,0,15,0,0,0,111,1106,261,1,31,109,932,0,55,1520
