TAZ_ID,TOTPOP,HHPOP,GQPOP,HH,HHSIZE,HHINC,HHWRK,HHVEH,HHSTD,SENHH,TOTEMP,EMP_11,EMP_21,EMP_22,EMP_23,EMP_3133,EMP_42,EMP_4445,EMP_4849,EMP_51,EMP_52,EMP_53,EMP_54,EMP_55,EMP_56,EMP_61,EMP_62,EMP_71,EMP_72,EMP_81,EMP_92,TotHouse,VacHouse,Res,Com,Ind,Agr,Vac,TotLand
3187,2143,2143,0,719,2.98,128262,1.46,2.52,0.66,146,298,126,0,0,3,1,5,3,4,3,1,25,51,0,16,32,15,0,0,13,0,824,106,0,0,0,0,0,18970
3188,2529,2529,0,921,2.75,119108,1.23,1.19,0.56,343,237,17,0,0,13,2,6,8,1,10,20,4,11,25,24,0,0,71,8,16,0,1231,311,0,0,0,0,0,39960
3189,2790,2790,0,879,3.17,90320,1.76,2.14,0.75,151,395,264,0,0,11,8,9,10,2,8,0,13,25,3,12,0,0,3,0,13,14,857,1,0,0,0,0,0,6340
3190,1643,1643,0,718,2.29,83985,1.11,1.89,0.48,152,4348,5,5,0,9,48,33,373,21,77,295,128,199,6,80,46,53,87,221,133,2530,846,129,0,0,0,0,0,700
3191,1862,1862,0,679,2.74,60721,1.1,2.06,0.56,171,400,23,0,0,48,0,15,131,0,6,7,13,19,0,15,39,24,0,0,24,36,875,197,0,0,0,0,0,18290
3192,2380,2380,0,972,2.45,90320,1.31,2.14,0.56,218,987,0,0,0,45,13,17,245,4,8,30,12,210,0,5,0,0,115,133,46,103,1060,88,0,0,0,0,0,1140
3193,2592,2592,0,906,2.86,123499,1.4,2.36,0.68,319,229,2,0,0,6,9,5,63,4,0,4,12,14,0,6,18,40,7,19,21,0,856,1,0,0,0,0,0,3210
3194,2692,2692,0,957,2.81,83418,1.39,1.8,0.49,188,392,2,0,0,3,1,8,0,1,8,1,0,22,40,78,24,29,136,16,22,0,869,1,0,0,0,0,0,970
3195,1917,1917,0,795,2.41,119820,1.1,1.2,0.48,192,4929,9,0,35,34,2,145,282,0,106,871,62,744,976,548,2,538,50,188,323,15,824,29,0,0,0,0,0,1830
3196,3357,3357,0,1241,2.71,115289,1.25,1.09,0.54,201,1496,0,3,27,57,15,30,419,16,17,48,32,54,10,31,0,364,28,244,72,29,1264,23,0,0,0,0,0,2520
3197,2657,2657,0,983,2.7,102912,1.21,1.68,0.51,250,310,65,0,0,9,8,13,10,9,8,5,12,17,0,14,29,6,21,0,30,55,1159,176,0,0,0,0,0,17480
